"subjid","rownum","submission_date","expectedness","expectedness_qemo","expectedness_qlabel","pleasantness","pleasantness_qemo","pleasantness_qlabel","goal_consistency","goal_consistency_qemo","goal_consistency_qlabel","fairness","fairness_qemo","fairness_qlabel","agent_cause","agent_cause_qemo","agent_cause_qlabel","agent_intention","agent_intention_qemo","agent_intention_qlabel","self_cause","self_cause_qemo","self_cause_qlabel","close_others","close_others_qemo","close_others_qlabel","control","control_qemo","control_qlabel","altering","altering_qemo","altering_qlabel","moral","moral_qemo","moral_qlabel","selfesteem","selfesteem_qemo","selfesteem_qlabel","suddenness","suddenness_qemo","suddenness_qlabel","familiarity","familiarity_qemo","familiarity_qlabel","future","future_qemo","future_qlabel","past","past_qemo","past_qlabel","occurred","occurred_qemo","occurred_qlabel","certainty","certainty_qemo","certainty_qlabel","repetition","repetition_qemo","repetition_qlabel","coping","coping_qemo","coping_qlabel","mental_states","mental_states_qemo","mental_states_qlabel","others_knowledge","others_knowledge_qemo","others_knowledge_qlabel","bodily_disease","bodily_disease_qemo","bodily_disease_qlabel","people","people_qemo","people_qlabel","relevance","relevance_qemo","relevance_qlabel","freedom","freedom_qemo","freedom_qlabel","pressure","pressure_qemo","pressure_qlabel","consequences","consequences_qemo","consequences_qlabel","danger","danger_qemo","danger_qlabel","self_involvement","self_involvement_qemo","self_involvement_qlabel","main_character","main_character_qemo","main_character_qlabel","remember","remember_qemo","remember_qlabel","self_consistency","self_consistency_qemo","self_consistency_qlabel","relationship_influence","relationship_influence_qemo","relationship_influence_qlabel","agent_situation","agent_situation_qemo","agent_situation_qlabel","attention","attention_qemo","attention_qlabel","psychological_change","psychological_change_qemo","psychological_change_qlabel","safey","safey_qemo","safey_qlabel","knowledge_change","knowledge_change_qemo","knowledge_change_qlabel","emotion","emotion_qemo","emotion_qlabel","Guilty_extent","Content_extent","Lonely_extent","Excited_extent","Hopeful_extent","Devastated_extent","Proud_extent","Apprehensive_extent","Disgusted_extent","Embarrassed_extent","Jealous_extent","Joyful_extent","Impressed_extent","Grateful_extent","Terrified_extent","Furious_extent","Nostalgic_extent","Disappointed_extent","Annoyed_extent","Surprised_extent","Neutral_extent","city","country","age","gender","thoughts","response_noface","response_intune","response_nothought","response_needverbal","response_facevoice","response_surprised"
"Ndim21a_q001_01_862","16","NULL","5","Impressed","q166","5","Impressed","q166","3","Impressed","q166","4","Impressed","q166","1","Impressed","q166","4","Impressed","q166","1","Impressed","q166","3","Impressed","q166","8","Impressed","q166","5","Impressed","q166","5","Impressed","q166","3","Impressed","q166","5","Impressed","q166","2","Impressed","q166","0","Impressed","q166","3","Impressed","q166","5","Impressed","q166","9","Impressed","q166","8","Impressed","q166","0","Impressed","q166","4","Impressed","q166","2","Impressed","q166","9","Impressed","q166","9","Impressed","q166","1","Annoyed","q166","7","Impressed","q166","9","Impressed","q166","9","Impressed","q166","5","Impressed","q166","7","Impressed","q166","9","Impressed","q166","3","Impressed","q166","8","Impressed","q166","0","Impressed","q166","2","Impressed","q166","9","Impressed","q166","1","Impressed","q166","8","Impressed","q166","2","Impressed","q166","Impressed","NULL","NULL","2","9","4","8","8","1","2","8","8","6","2","4","7","9","8","1","7","6","3","7","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"Ndim21a_q002_01_329","17","NULL","0","Annoyed","q1","0","Annoyed","q1","1","Annoyed","q1","0","Annoyed","q1","10","Annoyed","q1","1","Annoyed","q1","0","Annoyed","q1","7","Annoyed","q1","0","Annoyed","q1","6","Annoyed","q1","1","Annoyed","q1","6","Annoyed","q1","7","Annoyed","q1","0","Annoyed","q1","9","Annoyed","q1","0","Annoyed","q1","10","Annoyed","q1","2","Annoyed","q1","7","Annoyed","q1","7","Annoyed","q1","8","Annoyed","q1","8","Annoyed","q1","0","Annoyed","q1","7","Annoyed","q1","7","Annoyed","q1","0","Annoyed","q1","8","Annoyed","q1","0","Annoyed","q1","0","Annoyed","q1","10","Annoyed","q1","10","Annoyed","q1","8","Annoyed","q1","8","Annoyed","q1","6","Annoyed","q1","10","Annoyed","q1","8","Annoyed","q1","7","Annoyed","q1","8","Annoyed","q1","8","Annoyed","q1","Annoyed","NULL","NULL","7","2","7","2","2","2","9","7","5","8","2","2","2","2","2","8","2","8","7","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"Ndim21a_q001_01_862","18","NULL","8","Lonely","q100","5","Lonely","q100","7","Lonely","q100","7","Lonely","q100","7","Lonely","q100","2","Lonely","q100","2","Lonely","q100","3","Lonely","q100","7","Lonely","q100","8","Lonely","q100","8","Lonely","q100","9","Lonely","q100","8","Lonely","q100","2","Lonely","q100","4","Lonely","q100","9","Lonely","q100","8","Lonely","q100","1","Lonely","q100","2","Annoyed","q100","0","Lonely","q100","5","Lonely","q100","5","Lonely","q100","1","Lonely","q100","5","Lonely","q100","8","Lonely","q100","1","Lonely","q100","3","Lonely","q100","2","Lonely","q100","7","Lonely","q100","1","Lonely","q100","10","Lonely","q100","3","Lonely","q100","5","Lonely","q100","9","Lonely","q100","4","Lonely","q100","5","Lonely","q100","3","Lonely","q100","2","Lonely","q100","9","Lonely","q100","Lonely","NULL","NULL","4","8","6","4","1","7","7","8","1","3","6","7","4","6","9","2","2","2","7","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"Ndim21a_q001_01_862","19","NULL","2","Hopeful","q159","2","Hopeful","q159","2","Hopeful","q159","1","Hopeful","q159","5","Hopeful","q159","6","Hopeful","q159","7","Hopeful","q159","2","Annoyed","q159","3","Hopeful","q159","1","Hopeful","q159","7","Hopeful","q159","6","Hopeful","q159","1","Hopeful","q159","2","Hopeful","q159","9","Hopeful","q159","9","Hopeful","q159","7","Hopeful","q159","2","Hopeful","q159","4","Hopeful","q159","3","Hopeful","q159","3","Hopeful","q159","7","Hopeful","q159","9","Hopeful","q159","2","Hopeful","q159","8","Hopeful","q159","5","Hopeful","q159","7","Hopeful","q159","4","Hopeful","q159","7","Hopeful","q159","5","Hopeful","q159","5","Hopeful","q159","5","Hopeful","q159","7","Hopeful","q159","10","Hopeful","q159","4","Hopeful","q159","8","Hopeful","q159","8","Hopeful","q159","4","Hopeful","q159","8","Hopeful","q159","Hopeful","NULL","NULL","6","7","2","7","8","7","3","2","6","10","8","3","5","5","4","3","7","1","7","8","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"Ndim21a_q002_01_329","20","NULL","0","Embarrassed","q58","0","Embarrassed","q58","0","Embarrassed","q58","8","Embarrassed","q58","10","Embarrassed","q58","8","Embarrassed","q58","10","Embarrassed","q58","3","Embarrassed","q58","8","Embarrassed","q58","2","Embarrassed","q58","10","Embarrassed","q58","0","Embarrassed","q58","1","Embarrassed","q58","1","Embarrassed","q58","1","Embarrassed","q58","0","Embarrassed","q58","8","Embarrassed","q58","2","Embarrassed","q58","8","Embarrassed","q58","2","Embarrassed","q58","1","Embarrassed","q58","9","Embarrassed","q58","0","Embarrassed","q58","8","Embarrassed","q58","7","Embarrassed","q58","3","Embarrassed","q58","10","Embarrassed","q58","7","Embarrassed","q58","10","Embarrassed","q58","10","Embarrassed","q58","10","Embarrassed","q58","10","Embarrassed","q58","1","Embarrassed","q58","9","Annoyed","q58","0","Embarrassed","q58","10","Embarrassed","q58","7","Embarrassed","q58","7","Embarrassed","q58","8","Embarrassed","q58","Embarrassed","NULL","NULL","9","0","7","0","0","8","7","9","9","9","6","0","0","0","0","0","0","9","8","7","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"Ndim21a_q001_01_862","21","NULL","2","Proud","q200","5","Proud","q200","7","Proud","q200","8","Proud","q200","0","Proud","q200","8","Proud","q200","10","Proud","q200","8","Proud","q200","5","Proud","q200","7","Proud","q200","8","Proud","q200","10","Proud","q200","3","Proud","q200","1","Proud","q200","3","Proud","q200","8","Proud","q200","5","Proud","q200","5","Proud","q200","9","Proud","q200","8","Proud","q200","3","Proud","q200","1","Proud","q200","5","Proud","q200","0","Proud","q200","0","Proud","q200","5","Proud","q200","3","Proud","q200","9","Proud","q200","7","Proud","q200","5","Proud","q200","5","Proud","q200","9","Proud","q200","8","Proud","q200","5","Annoyed","q200","2","Proud","q200","8","Proud","q200","2","Proud","q200","3","Proud","q200","2","Proud","q200","Proud","NULL","NULL","8","1","6","7","3","9","3","7","1","3","4","9","7","7","4","2","7","3","7","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"Ndim21a_q002_01_329","22","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"Ndim21a_q001_01_862","23","NULL","7","Jealous","q88","2","Jealous","q88","2","Jealous","q88","3","Jealous","q88","2","Jealous","q88","2","Jealous","q88","2","Jealous","q88","5","Jealous","q88","3","Annoyed","q88","1","Jealous","q88","8","Jealous","q88","1","Jealous","q88","2","Jealous","q88","2","Jealous","q88","8","Jealous","q88","8","Jealous","q88","9","Jealous","q88","7","Jealous","q88","9","Jealous","q88","5","Jealous","q88","7","Jealous","q88","8","Jealous","q88","9","Jealous","q88","7","Jealous","q88","3","Jealous","q88","5","Jealous","q88","7","Jealous","q88","5","Jealous","q88","8","Jealous","q88","8","Jealous","q88","3","Jealous","q88","3","Jealous","q88","3","Jealous","q88","0","Jealous","q88","3","Jealous","q88","1","Jealous","q88","9","Jealous","q88","5","Jealous","q88","7","Jealous","q88","Jealous","NULL","NULL","8","7","4","7","8","9","5","4","7","8","2","7","4","2","1","3","2","2","8","7","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"Ndim21a_q001_02_787","24","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"Ndim21a_q001_01_862","25","2014-03-27","0","Annoyed","q1","0","Annoyed","q1","0","Annoyed","q1","0","Annoyed","q1","10","Annoyed","q1","2","Annoyed","q1","0","Annoyed","q1","3","Annoyed","q1","2","Annoyed","q1","5","Annoyed","q1","5","Annoyed","q1","1","Annoyed","q1","6","Annoyed","q1","2","Annoyed","q1","5","Annoyed","q1","0","Annoyed","q1","9","Annoyed","q1","10","Annoyed","q1","5","Annoyed","q1","5","Annoyed","q1","5","Annoyed","q1","9","Annoyed","q1","0","Annoyed","q1","0","Annoyed","q1","9","Annoyed","q1","0","Annoyed","q1","5","Annoyed","q1","9","Annoyed","q1","10","Annoyed","q1","10","Annoyed","q1","10","Annoyed","q1","10","Annoyed","q1","5","Annoyed","q1","9","Annoyed","q1","10","Annoyed","q1","8","Annoyed","q1","0","Annoyed","q1","0","Annoyed","q1","5","Annoyed","q1","Annoyed","NULL","NULL","0","0","0","0","2","9","0","6","10","8","0","0","0","0","0","8","0","10","9","10","NULL","NULL","NULL","39","female"," ","8","NULL","5","2","9","1"
