"subjid","rownum","submission_date","q0","correctA0","q0otherword1","q0otherword2","q1","correctA1","q1otherword1","q1otherword2","q2","correctA2","q2otherword1","q2otherword2","q3","correctA3","q3otherword1","q3otherword2","q4","correctA4","q4otherword1","q4otherword2","q5","correctA5","q5otherword1","q5otherword2","q6","correctA6","q6otherword1","q6otherword2","q7","correctA7","q7otherword1","q7otherword2","q8","correctA8","q8otherword1","q8otherword2","q9","correctA9","q9otherword1","q9otherword2","q10","correctA10","q10otherword1","q10otherword2","q11","correctA11","q11otherword1","q11otherword2","q12","correctA12","q12otherword1","q12otherword2","q13","correctA13","q13otherword1","q13otherword2","q14","correctA14","q14otherword1","q14otherword2","q15","correctA15","q15otherword1","q15otherword2","q16","correctA16","q16otherword1","q16otherword2","q17","correctA17","q17otherword1","q17otherword2","q18","correctA18","q18otherword1","q18otherword2","q19","correctA19","q19otherword1","q19otherword2","q20","correctA20","q20otherword1","q20otherword2","q21","correctA21","q21otherword1","q21otherword2","q22","correctA22","q22otherword1","q22otherword2","q23","correctA23","q23otherword1","q23otherword2","q24","correctA24","q24otherword1","q24otherword2","q25","correctA25","q25otherword1","q25otherword2","q26","correctA26","q26otherword1","q26otherword2","q27","correctA27","q27otherword1","q27otherword2","q28","correctA28","q28otherword1","q28otherword2","q29","correctA29","q29otherword1","q29otherword2","q30","correctA30","q30otherword1","q30otherword2","q31","correctA31","q31otherword1","q31otherword2","q32","correctA32","q32otherword1","q32otherword2","q33","correctA33","q33otherword1","q33otherword2","q34","correctA34","q34otherword1","q34otherword2","q35","correctA35","q35otherword1","q35otherword2","q36","correctA36","q36otherword1","q36otherword2","q37","correctA37","q37otherword1","q37otherword2","q38","correctA38","q38otherword1","q38otherword2","q39","correctA39","q39otherword1","q39otherword2","q40","correctA40","q40otherword1","q40otherword2","q41","correctA41","q41otherword1","q41otherword2","q42","correctA42","q42otherword1","q42otherword2","q43","correctA43","q43otherword1","q43otherword2","q44","correctA44","q44otherword1","q44otherword2","q45","correctA45","q45otherword1","q45otherword2","q46","correctA46","q46otherword1","q46otherword2","q47","correctA47","q47otherword1","q47otherword2","q48","correctA48","q48otherword1","q48otherword2","q49","correctA49","q49otherword1","q49otherword2","q50","correctA50","q50otherword1","q50otherword2","q51","correctA51","q51otherword1","q51otherword2","q52","correctA52","q52otherword1","q52otherword2","q53","correctA53","q53otherword1","q53otherword2","q54","correctA54","q54otherword1","q54otherword2","q55","correctA55","q55otherword1","q55otherword2","q56","correctA56","q56otherword1","q56otherword2","q57","correctA57","q57otherword1","q57otherword2","q58","correctA58","q58otherword1","q58otherword2","q59","correctA59","q59otherword1","q59otherword2","q60","correctA60","q60otherword1","q60otherword2","q61","correctA61","q61otherword1","q61otherword2","q62","correctA62","q62otherword1","q62otherword2","q63","correctA63","q63otherword1","q63otherword2","q64","correctA64","q64otherword1","q64otherword2","q65","correctA65","q65otherword1","q65otherword2","q66","correctA66","q66otherword1","q66otherword2","q67","correctA67","q67otherword1","q67otherword2","q68","correctA68","q68otherword1","q68otherword2","q69","correctA69","q69otherword1","q69otherword2","q70","correctA70","q70otherword1","q70otherword2","q71","correctA71","q71otherword1","q71otherword2","q72","correctA72","q72otherword1","q72otherword2","q73","correctA73","q73otherword1","q73otherword2","q74","correctA74","q74otherword1","q74otherword2","q75","correctA75","q75otherword1","q75otherword2","q76","correctA76","q76otherword1","q76otherword2","q77","correctA77","q77otherword1","q77otherword2","q78","correctA78","q78otherword1","q78otherword2","q79","correctA79","q79otherword1","q79otherword2","q80","correctA80","q80otherword1","q80otherword2","q81","correctA81","q81otherword1","q81otherword2","q82","correctA82","q82otherword1","q82otherword2","q83","correctA83","q83otherword1","q83otherword2","q84","correctA84","q84otherword1","q84otherword2","q85","correctA85","q85otherword1","q85otherword2","q86","correctA86","q86otherword1","q86otherword2","city","country","age","gender","thoughts","q87","correctA87","q87otherword1","q87otherword2","correctA88","correctA89","correctA90","correctA91","correctA92","q88otherword2","q88otherword1","q89otherword1","q89otherword2","q90otherword2","q90otherword1","q91otherword1","q91otherword2","q92otherword2","q92otherword1","q92","q91","q90","q89","q88","q93","correctA93","q93otherword1","q93otherword2","q94","correctA94","q94otherword1","q94otherword2","q95","correctA95","q95otherword1","q95otherword2","q96","correctA96","q96otherword1","q96otherword2","q97","correctA97","q97otherword1","q97otherword2","q98","correctA98","q98otherword1","q98otherword2","q99","correctA99","q99otherword1","q99otherword2","q100","correctA100","q100otherword1","q100otherword2","q101","correctA101","q101otherword1","q101otherword2","q102","correctA102","q102otherword1","q102otherword2","q103","correctA103","q103otherword1","q103otherword2","q104","correctA104","q104otherword1","q104otherword2","q105","correctA105","q105otherword1","q105otherword2","q106","correctA106","q106otherword1","q106otherword2","q107","correctA107","q107otherword1","q107otherword2","q108","correctA108","q108otherword1","q108otherword2","q109","correctA109","q109otherword1","q109otherword2","q110","correctA110","q110otherword1","q110otherword2","q111","correctA111","q111otherword1","q111otherword2","q112","correctA112","q112otherword1","q112otherword2","q113","correctA113","q113otherword1","q113otherword2","q114","correctA114","q114otherword1","q114otherword2","q115","correctA115","q115otherword1","q115otherword2","q116","correctA116","q116otherword1","q116otherword2","q117","correctA117","q117otherword1","q117otherword2","q118","correctA118","q118otherword1","q118otherword2","q119","correctA119","q119otherword1","q119otherword2","q120","correctA120","q120otherword1","q120otherword2","q121","correctA121","q121otherword1","q121otherword2","q122","correctA122","q122otherword1","q122otherword2","q123","correctA123","q123otherword1","q123otherword2","q124","correctA124","q124otherword1","q124otherword2","q125","correctA125","q125otherword1","q125otherword2","q126","correctA126","q126otherword1","q126otherword2","q127","correctA127","q127otherword1","q127otherword2","q128","correctA128","q128otherword1","q128otherword2","q129","correctA129","q129otherword1","q129otherword2","q130","correctA130","q130otherword1","q130otherword2","q131","correctA131","q131otherword1","q131otherword2","q132","correctA132","q132otherword1","q132otherword2","q133","correctA133","q133otherword1","q133otherword2","q134","correctA134","q134otherword1","q134otherword2","q135","correctA135","q135otherword1","q135otherword2","q136","correctA136","q136otherword1","q136otherword2","q137","correctA137","q137otherword1","q137otherword2","q138","correctA138","q138otherword1","q138otherword2","q139","correctA139","q139otherword1","q139otherword2","q140","correctA140","q140otherword1","q140otherword2","q141","correctA141","q141otherword1","q141otherword2","q142","correctA142","q142otherword1","q142otherword2","q143","correctA143","q143otherword1","q143otherword2","q144","correctA144","q144otherword1","q144otherword2","q145","correctA145","q145otherword1","q145otherword2","q146","correctA146","q146otherword1","q146otherword2","q147","correctA147","q147otherword1","q147otherword2","q148","correctA148","q148otherword1","q148otherword2","q149","correctA149","q149otherword1","q149otherword2","q150","correctA150","q150otherword1","q150otherword2","q151","correctA151","q151otherword1","q151otherword2","q152","correctA152","q152otherword1","q152otherword2","q153","correctA153","q153otherword1","q153otherword2","q154","correctA154","q154otherword1","q154otherword2","q155","correctA155","q155otherword1","q155otherword2","q156","correctA156","q156otherword1","q156otherword2","q157","correctA157","q157otherword1","q157otherword2","q158","correctA158","q158otherword1","q158otherword2","q159","correctA159","q159otherword1","q159otherword2","q160","correctA160","q160otherword1","q160otherword2","q161","correctA161","q161otherword1","q161otherword2","q162","correctA162","q162otherword1","q162otherword2","q163","correctA163","q163otherword1","q163otherword2","q164","correctA164","q164otherword1","q164otherword2","q165","correctA165","q165otherword1","q165otherword2","q166","correctA166","q166otherword1","q166otherword2","q167","correctA167","q167otherword1","q167otherword2","q168","correctA168","q168otherword1","q168otherword2","q169","correctA169","q169otherword1","q169otherword2","q170","correctA170","q170otherword1","q170otherword2","q171","correctA171","q171otherword1","q171otherword2","q172","correctA172","q172otherword1","q172otherword2","q173","correctA173","q173otherword1","q173otherword2","q174","correctA174","q174otherword1","q174otherword2","q175","correctA175","q175otherword1","q175otherword2","q176","correctA176","q176otherword1","q176otherword2","q177","correctA177","q177otherword1","q177otherword2","q178","correctA178","q178otherword1","q178otherword2","q179","correctA179","q179otherword1","q179otherword2","q180","correctA180","q180otherword1","q180otherword2","q181","correctA181","q181otherword1","q181otherword2","q182","correctA182","q182otherword1","q182otherword2","q183","correctA183","q183otherword1","q183otherword2","q184","correctA184","q184otherword1","q184otherword2","q185","correctA185","q185otherword1","q185otherword2","q186","correctA186","q186otherword1","q186otherword2","q187","correctA187","q187otherword1","q187otherword2","q188","correctA188","q188otherword1","q188otherword2","q189","correctA189","q189otherword1","q189otherword2","q190","correctA190","q190otherword1","q190otherword2","q191","correctA191","q191otherword1","q191otherword2","q192","correctA192","q192otherword1","q192otherword2","q193","correctA193","q193otherword1","q193otherword2","q194","correctA194","q194otherword1","q194otherword2","q195","correctA195","q195otherword1","q195otherword2","q196","correctA196","q196otherword1","q196otherword2","q197","correctA197","q197otherword1","q197otherword2","q198","correctA198","q198otherword1","q198otherword2","q199","correctA199","q199otherword1","q199otherword2","q200","correctA200","q200otherword1","q200otherword2","q201","correctA201","q201otherword1","q201otherword2","q202","correctA202","q202otherword1","q202otherword2"
"NDE_r1a_emrat_01","0","2014-03-22","NULL","NULL","NULL","NULL","Annoyed","Annoyed","surprised ","NULL","Annoyed","Annoyed","NULL","NULL","NULL","NULL","NULL","NULL","Annoyed","Annoyed","NULL","NULL","Annoyed","Annoyed","furious","NULL","NULL","NULL","NULL","NULL","Annoyed","Annoyed","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Apprehensive","Apprehensive","NULL","NULL","Devastated","Apprehensive","terrifird","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Apprehensive","Apprehensive","NULL","NULL","Apprehensive","Apprehensive","nervous","doubtful","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Apprehensive","Apprehensive","NULL","NULL","Terrified","Apprehensive","scared","NULL","Disappointed","Devastated","NULL","NULL","NULL","NULL","NULL","NULL","Devastated","Devastated","NULL","NULL","Disappointed","Devastated","NULL","NULL","Devastated","Devastated","Lonely","NULL","NULL","NULL","NULL","NULL","Apprehensive","Devastated","anxious","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Disappointed","Disappointed","overrwhelmed","NULL","Devastated","Disappointed","sad","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Disappointed","Disappointed","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Disappointed","Disappointed","devastated","annoyed","NULL","NULL","NULL","NULL","Disgusted","Disgusted","annoyed","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Disgusted","Disgusted","Annoyed","sickened","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Disgusted","Disgusted","NULL","NULL","Disgusted","Disgusted","NULL","NULL","Embarrassed","Embarrassed","NULL","NULL","Disappointed","Embarrassed","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Embarrassed","Embarrassed","shamed","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Furious","Furious","devastated","NULL","NULL","NULL","NULL","NULL","Disappointed","Furious","Disappointed","NULL","Furious","Furious","upset","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Terrified","Guilty","NULL","NULL","Guilty","Guilty","Guilty","Sad","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Guilty","Guilty","NULL","NULL","Embarrassed","Guilty","ashamed","NULL","NULL","NULL","NULL","NULL","Jealous","Jealous","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Jealous","Jealous","lonely","NULL","gaffney","usa","35","female","no","NULL","NULL","NULL","NULL","Jealous","Jealous","Jealous","Lonely","NULL","NULL","NULL","NULL","NULL","ashamed","jealous","NULL","NULL","NULL","NULL","NULL","Lonely","Disappointed","Jealous","Excited","Lonely","Lonely","NULL","NULL","Embarrassed","Lonely","NULL","NULL","Annoyed","Lonely","NULL","NULL","Lonely","Lonely","NULL","NULL","NULL","NULL","NULL","NULL","Lonely","Lonely","NULL","NULL","Neutral","Lonely","NULL","NULL","Lonely","Lonely","Bored","NULL","Terrified","Terrified","NULL","NULL","Terrified","Terrified","NULL","NULL","Terrified","Terrified","NULL","NULL","Terrified","Terrified","NULL","NULL","Neutral","Terrified","NULL","NULL","Apprehensive","Terrified","Terrified ","NULL","Terrified","Terrified","afraid","frightened","Terrified","Terrified","nervous","NULL","Neutral","Terrified","NULL","NULL","Neutral","Terrified","NULL","NULL","Neutral","Surprised","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Surprised","Surprised","happy","excited","NULL","NULL","NULL","NULL","Surprised","Surprised","NULL","NULL","Devastated","Surprised","disappointed","inquisitive","NULL","NULL","NULL","NULL","Surprised","Surprised","Annoyed ","NULL","Excited","Content","NULL","NULL","Joyful","Content","NULL","NULL","Content","Content","proud ","fulfilled","Content","Content","NULL","NULL","Content","Content","NULL","NULL","Content","Content","NULL","NULL","Grateful","Content","NULL","NULL","Content","Content","NULL","NULL","Content","Content","consoled","NULL","Content","Content","NULL","NULL","Excited","Excited","NULL","NULL","Excited","Excited","NULL","NULL","Impressed","Excited","NULL","NULL","Neutral","Excited","NULL","NULL","Disappointed","Excited","NULL","NULL","Excited","Excited","Joyful","Happy","Excited","Excited","NULL","NULL","Excited","Excited","NULL","NULL","Joyful","Excited","NULL","NULL","Excited","Excited","NULL","NULL","Guilty","Grateful","NULL","NULL","Surprised","Grateful","grateful","NULL","Grateful","Grateful","Grateful","NULL","NULL","NULL","NULL","NULL","Grateful","Grateful","NULL","NULL","Disappointed","Grateful","NULL","NULL","NULL","NULL","NULL","NULL","Grateful","Grateful","NULL","NULL","Grateful","Grateful","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Grateful","Hopeful","hopeful","NULL","Content","Hopeful","NULL","NULL","Excited","Hopeful","NULL","NULL","Neutral","Hopeful","NULL","NULL","Proud","Hopeful","NULL","NULL","Excited","Hopeful","suprised","NULL","NULL","NULL","NULL","NULL","Hopeful","Hopeful","hopeful","prideful","Excited","Hopeful","NULL","NULL","Impressed","Impressed","NULL","NULL","Surprised","Impressed","NULL","NULL","Furious","Impressed","NULL","NULL","Content","Impressed","NULL","NULL","Impressed","Impressed","Surprised","NULL","Proud","Impressed","NULL","NULL","NULL","NULL","NULL","NULL","Impressed","Impressed","NULL","NULL","Impressed","Impressed","NULL","NULL","Apprehensive","Impressed","NULL","NULL","Joyful","Joyful","Happy","Elated","Joyful","Joyful","NULL","NULL","Joyful","Joyful","NULL","NULL","Joyful","Joyful","relieved","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Excited","Joyful","grateful","NULL","Joyful","Joyful","Nostalgic ","NULL","Grateful","Joyful","NULL","NULL","NULL","NULL","NULL","NULL","Nostalgic","Nostalgic","NULL","NULL","Excited","Nostalgic","NULL","NULL","Nostalgic","Nostalgic","NULL","NULL","Nostalgic","Nostalgic","NULL","NULL","Guilty","Nostalgic","NULL","NULL","Devastated","Nostalgic","NULL","NULL","Content","Nostalgic","NULL","NULL","NULL","NULL","NULL","NULL","Nostalgic","Nostalgic","NULL","NULL","NULL","NULL","NULL","NULL","Proud","Proud","content","NULL","NULL","NULL","NULL","NULL","Proud","Proud","NULL","NULL","Hopeful","Proud","Relieved","Proud","Proud","Proud","NULL","NULL","Proud","Proud","NULL","NULL","Joyful","Proud","proud","ecstatic","Surprised","Proud","Nervous","Excited","Proud","Proud","NULL","NULL","Neutral","CHECK","numb","lifeless","Neutral","CHECK","bland","unbalanced"
"NDE_r1a_emrat_02","0","2014-03-22","NULL","NULL","NULL","NULL","Annoyed","Annoyed","surprised ","NULL","Annoyed","Annoyed","NULL","NULL","NULL","NULL","NULL","NULL","Annoyed","Annoyed","NULL","NULL","Annoyed","Annoyed","furious","NULL","NULL","NULL","NULL","NULL","Annoyed","Annoyed","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Apprehensive","Apprehensive","NULL","NULL","Devastated","Apprehensive","terrifird","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Apprehensive","Apprehensive","NULL","NULL","Apprehensive","Apprehensive","nervous","doubtful","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Apprehensive","Apprehensive","NULL","NULL","Terrified","Apprehensive","scared","NULL","Disappointed","Devastated","NULL","NULL","NULL","NULL","NULL","NULL","Devastated","Devastated","NULL","NULL","Disappointed","Devastated","NULL","NULL","Devastated","Devastated","Lonely","NULL","NULL","NULL","NULL","NULL","Apprehensive","Devastated","anxious","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Disappointed","Disappointed","overrwhelmed","NULL","Devastated","Disappointed","sad","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Disappointed","Disappointed","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Disappointed","Disappointed","devastated","annoyed","NULL","NULL","NULL","NULL","Disgusted","Disgusted","annoyed","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Disgusted","Disgusted","Annoyed","sickened","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Disgusted","Disgusted","NULL","NULL","Disgusted","Disgusted","NULL","NULL","Embarrassed","Embarrassed","NULL","NULL","Disappointed","Embarrassed","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Embarrassed","Embarrassed","shamed","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Furious","Furious","devastated","NULL","NULL","NULL","NULL","NULL","Disappointed","Furious","Disappointed","NULL","Furious","Furious","upset","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Terrified","Guilty","NULL","NULL","Guilty","Guilty","Guilty","Sad","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Guilty","Guilty","NULL","NULL","Embarrassed","Guilty","ashamed","NULL","NULL","NULL","NULL","NULL","Jealous","Jealous","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Jealous","Jealous","lonely","NULL","gaffney","usa","35","female","no","NULL","NULL","NULL","NULL","Jealous","Jealous","Jealous","Lonely","NULL","NULL","NULL","NULL","NULL","ashamed","jealous","NULL","NULL","NULL","NULL","NULL","Lonely","Disappointed","Jealous","Excited","Lonely","Lonely","NULL","NULL","Embarrassed","Lonely","NULL","NULL","Annoyed","Lonely","NULL","NULL","Lonely","Lonely","NULL","NULL","NULL","NULL","NULL","NULL","Lonely","Lonely","NULL","NULL","Neutral","Lonely","NULL","NULL","Lonely","Lonely","Bored","NULL","Terrified","Terrified","NULL","NULL","Terrified","Terrified","NULL","NULL","Terrified","Terrified","NULL","NULL","Terrified","Terrified","NULL","NULL","Neutral","Terrified","NULL","NULL","Apprehensive","Terrified","Terrified ","NULL","Terrified","Terrified","afraid","frightened","Terrified","Terrified","nervous","NULL","Neutral","Terrified","NULL","NULL","Neutral","Terrified","NULL","NULL","Neutral","Surprised","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Surprised","Surprised","happy","excited","NULL","NULL","NULL","NULL","Surprised","Surprised","NULL","NULL","Devastated","Surprised","disappointed","inquisitive","NULL","NULL","NULL","NULL","Surprised","Surprised","Annoyed ","NULL","Excited","Content","NULL","NULL","Joyful","Content","NULL","NULL","Content","Content","proud ","fulfilled","Content","Content","NULL","NULL","Content","Content","NULL","NULL","Content","Content","NULL","NULL","Grateful","Content","NULL","NULL","Content","Content","NULL","NULL","Content","Content","consoled","NULL","Content","Content","NULL","NULL","Excited","Excited","NULL","NULL","Excited","Excited","NULL","NULL","Impressed","Excited","NULL","NULL","Neutral","Excited","NULL","NULL","Disappointed","Excited","NULL","NULL","Excited","Excited","Joyful","Happy","Excited","Excited","NULL","NULL","Excited","Excited","NULL","NULL","Joyful","Excited","NULL","NULL","Excited","Excited","NULL","NULL","Guilty","Grateful","NULL","NULL","Surprised","Grateful","grateful","NULL","Grateful","Grateful","Grateful","NULL","NULL","NULL","NULL","NULL","Grateful","Grateful","NULL","NULL","Disappointed","Grateful","NULL","NULL","NULL","NULL","NULL","NULL","Grateful","Grateful","NULL","NULL","Grateful","Grateful","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Grateful","Hopeful","hopeful","NULL","Content","Hopeful","NULL","NULL","Excited","Hopeful","NULL","NULL","Neutral","Hopeful","NULL","NULL","Proud","Hopeful","NULL","NULL","Excited","Hopeful","suprised","NULL","NULL","NULL","NULL","NULL","Hopeful","Hopeful","hopeful","prideful","Excited","Hopeful","NULL","NULL","Impressed","Impressed","NULL","NULL","Surprised","Impressed","NULL","NULL","Furious","Impressed","NULL","NULL","Content","Impressed","NULL","NULL","Impressed","Impressed","Surprised","NULL","Proud","Impressed","NULL","NULL","NULL","NULL","NULL","NULL","Impressed","Impressed","NULL","NULL","Impressed","Impressed","NULL","NULL","Apprehensive","Impressed","NULL","NULL","Joyful","Joyful","Happy","Elated","Joyful","Joyful","NULL","NULL","Joyful","Joyful","NULL","NULL","Joyful","Joyful","relieved","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Excited","Joyful","grateful","NULL","Joyful","Joyful","Nostalgic ","NULL","Grateful","Joyful","NULL","NULL","NULL","NULL","NULL","NULL","Nostalgic","Nostalgic","NULL","NULL","Excited","Nostalgic","NULL","NULL","Nostalgic","Nostalgic","NULL","NULL","Nostalgic","Nostalgic","NULL","NULL","Guilty","Nostalgic","NULL","NULL","Devastated","Nostalgic","NULL","NULL","Content","Nostalgic","NULL","NULL","NULL","NULL","NULL","NULL","Nostalgic","Nostalgic","NULL","NULL","NULL","NULL","NULL","NULL","Proud","Proud","content","NULL","NULL","NULL","NULL","NULL","Proud","Proud","NULL","NULL","Hopeful","Proud","Relieved","Proud","Proud","Proud","NULL","NULL","Proud","Proud","NULL","NULL","Joyful","Proud","proud","ecstatic","Surprised","Proud","Nervous","Excited","Proud","Proud","NULL","NULL","Neutral","CHECK","numb","lifeless","Neutral","CHECK","bland","unbalanced"
