subjID,keycode
Ndim21a_q051_02_612,x436424411q05110x
Ndim21a_q052_01_279,x442185152q05200x
Ndim21a_q052_02_554,x436424411q05210x
Ndim21a_q053_01_536,x442185152q05300x
Ndim21a_q053_02_421,x436424411q05310x
Ndim21a_q054_01_411,x442185152q05400x
Ndim21a_q054_02_584,x436424411q05410x
Ndim21a_q055_01_661,x442185152q05500x
Ndim21a_q055_02_651,x436424411q05510x
Ndim21a_q056_01_512,x442185152q05600x
