subjID,keycode
Ndim21a_q046_02_805,x436424411q04610x
Ndim21a_q047_01_838,x442185152q04700x
Ndim21a_q047_02_897,x436424411q04710x
Ndim21a_q048_01_766,x442185152q04800x
Ndim21a_q048_02_828,x436424411q04810x
Ndim21a_q049_01_566,x442185152q04900x
Ndim21a_q049_02_605,x436424411q04910x
Ndim21a_q050_01_483,x442185152q05000x
Ndim21a_q050_02_150,x436424411q05010x
Ndim21a_q051_01_883,x442185152q05100x
