subjID,keycode
Ndim21a_q061_02_705,x436424411q06110x
Ndim21a_q062_01_174,x442185152q06200x
Ndim21a_q062_02_115,x436424411q06210x
Ndim21a_q063_01_113,x442185152q06300x
Ndim21a_q063_02_780,x436424411q06310x
Ndim21a_q064_01_324,x442185152q06400x
Ndim21a_q064_02_198,x436424411q06410x
Ndim21a_q065_01_662,x442185152q06500x
Ndim21a_q065_02_409,x436424411q06510x
Ndim21a_q066_01_162,x442185152q06600x
